# generated by STOCK (http://stock.cmm.ki.si)
SPC_POTENTIAL
N 995

  75 0.47447447 62172.27600000 1613059.00000000
  76 0.48048048 53234.51700000 1381173.10000000
  77 0.48648649 45581.60800000 1182622.10000000
  78 0.49249249 39028.84500000 1012613.90000000
  79 0.49849850 33418.07700000 867045.24000000
  80 0.50450450 28613.88700000 742402.83000000
  81 0.51051051 24500.32600000 635678.44000000
  82 0.51651652 20978.11000000 544296.23000000
  83 0.52252252 17962.23300000 466050.71000000
  84 0.52852853 15379.90400000 399053.39000000
  85 0.53453453 13168.79900000 341687.28000000
  86 0.54054054 11275.55200000 292567.86000000
  87 0.54654655 9654.47000000 250509.61000000
  88 0.55255255 8266.42750000 214497.46000000
  89 0.55855856 7077.92390000 183662.25000000
  90 0.56456456 6060.27440000 157259.76000000
  91 0.57057057 5188.91780000 134652.76000000
  92 0.57657658 4442.82380000 115295.65000000
  93 0.58258258 3803.98510000 98721.21500000
  94 0.58858859 3256.98330000 84529.44700000
  95 0.59459459 2788.61640000 72377.82000000
  96 0.60060060 2387.58010000 61973.05300000
  97 0.60660661 2044.19530000 53064.02700000
  98 0.61261261 1750.17440000 45435.72000000
  99 0.61861862 1498.42090000 38904.02200000
 100 0.62462462 1282.85880000 33311.29100000
 101 0.63063063 1098.28530000 28522.54400000
 102 0.63663664 940.24565000 24422.20500000
 103 0.64264264 804.92548000 20911.31100000
 104 0.64864865 689.05873000 17905.12700000
 105 0.65465465 589.84888000 15331.09700000
 106 0.66066066 504.90141000 13127.09800000
 107 0.66666667 432.16602000 11239.93600000
 108 0.67267267 369.88717000 9624.06250000
 109 0.67867868 316.56167000 8240.47970000
 110 0.68468468 270.90242000 7055.79420000
 111 0.69069069 231.80738000 6041.41360000
 112 0.69669670 198.33289000 5172.85550000
 113 0.70270270 169.67098000 4429.15720000
 114 0.70870871 145.12980000 3792.36950000
 115 0.71471471 124.11699000 3247.12330000
 116 0.72072072 106.12532000 2780.25920000
 117 0.72672673 90.72048300 2380.50930000
 118 0.73273273 77.53061200 2038.22550000
 119 0.73873874 66.23729300 1745.14680000
 120 0.74474474 56.56788700 1494.19970000
 121 0.75075075 48.28894800 1279.32760000
 122 0.75675676 41.20058900 1095.34450000
 123 0.76276276 35.13165700 937.80996000
 124 0.76876877 29.93560400 802.92182000
 125 0.77477477 25.48695000 733.61580000
 126 0.78078078 21.12340200 684.67062000
 127 0.78678679 17.26267800 593.12076000
 128 0.79279279 13.99882900 506.71353000
 129 0.79879880 11.17602900 443.05590000
 130 0.80480480 8.67683580 388.88210000
 131 0.81081081 6.50477280 332.66034000
 132 0.81681682 4.68091580 277.92291000
 133 0.82282282 3.16635950 232.20879000
 134 0.82882883 1.89162100 195.97289000
 135 0.83483483 0.81233083 164.38510000
 136 0.84084084 -0.08297476 134.28695000
 137 0.84684685 -0.80072567 106.37937000
 138 0.85285285 -1.36080510 82.46166700
 139 0.85885886 -1.79125620 62.77340100
 140 0.86486486 -2.11483990 46.05280800
 141 0.87087087 -2.34444310 31.17124000
 142 0.87687688 -2.48926920 18.07040100
 143 0.88288288 -2.56150490 7.19518590
 144 0.88888889 -2.57569790 -1.47033650
 145 0.89489489 -2.54384320 -8.48890270
 146 0.90090090 -2.47372910 -14.31373100
 147 0.90690691 -2.37190650 -18.93035400
 148 0.91291291 -2.24633740 -22.17458100
 149 0.91891892 -2.10554520 -24.14305600
 150 0.92492492 -1.95633080 -25.16691900
 151 0.93093093 -1.80323990 -25.51495800
 152 0.93693694 -1.64984480 -25.25797600
 153 0.94294294 -1.49984080 -24.40280900
 154 0.94894895 -1.35671790 -23.05825200
 155 0.95495495 -1.22286480 -21.40076700
 156 0.96096096 -1.09965170 -19.52335000
 157 0.96696697 -0.98835004 -17.41520300
 158 0.97297297 -0.89046004 -15.11050600
 159 0.97897898 -0.80684247 -12.78050900
 160 0.98498498 -0.73694042 -10.61841400
 161 0.99099099 -0.67929395 -8.68746600
 162 0.99699700 -0.63258647 -6.93845460
 163 1.00300300 -0.59594915 -5.32988900
 164 1.00900900 -0.56856378 -3.86651190
 165 1.01501500 -0.54950456 -2.54553360
 166 1.02102100 -0.53798680 -1.34013340
 167 1.02702700 -0.53340686 -0.24580480
 168 1.03303300 -0.53503419 0.70361772
 169 1.03903900 -0.54185873 1.48081820
 170 1.04504500 -0.55282179 2.09972470
 171 1.05105110 -0.56708065 2.59603320
 172 1.05705710 -0.58400538 2.99399140
 173 1.06306310 -0.60304451 3.30357220
 174 1.06906910 -0.62368792 3.53762330
 175 1.07507510 -0.64553848 3.71919860
 176 1.08108110 -0.66836298 3.87443520
 177 1.08708710 -0.69207824 4.02399780
 178 1.09309310 -0.71669929 4.17722410
 179 1.09909910 -0.74225511 4.32692530
 180 1.10510510 -0.76867437 4.44923660
 181 1.11111110 -0.79569939 4.51504260
 182 1.11711710 -0.82290912 4.50947790
 183 1.12312310 -0.84986730 4.44539150
 184 1.12912910 -0.87630721 4.35884640
 185 1.13513510 -0.90222581 4.28888940
 186 1.14114110 -0.92782540 4.25650990
 187 1.14714710 -0.95335506 4.25649430
 188 1.15315320 -0.97895446 4.26459400
 189 1.15915920 -1.00458140 4.24965360
 190 1.16516520 -1.03000140 4.18787750
 191 1.17117120 -1.05488620 4.07558510
 192 1.17717720 -1.07895730 3.93055520
 193 1.18318320 -1.10210010 3.77999750
 194 1.18918920 -1.12436270 3.64284530
 195 1.19519520 -1.14585800 3.52341880
 196 1.20120120 -1.16668610 3.42045180
 197 1.20720720 -1.18694450 3.33738890
 198 1.21321320 -1.20677480 3.28097480
 199 1.21921920 -1.22635560 3.25152110
 200 1.22522520 -1.24583210 3.23621900
 201 1.23123120 -1.26522910 3.21076890
 202 1.23723720 -1.28439990 3.14848430
 203 1.24324320 -1.30304880 3.03463760
 204 1.24924920 -1.32085200 2.87921160
 205 1.25525530 -1.33763390 2.71729040
 206 1.26126130 -1.35349210 2.59000250
 207 1.26726730 -1.36874500 2.51998110
 208 1.27327330 -1.38376220 2.49877630
 209 1.27927930 -1.39876040 2.49029250
 210 1.28528530 -1.41367560 2.44737470
 211 1.29129130 -1.42815830 2.33402740
 212 1.29729730 -1.44171200 2.14650770
 213 1.30330330 -1.45394210 1.92038850
 214 1.30930930 -1.46477970 1.71313430
 215 1.31531530 -1.47452030 1.57076410
 216 1.32132130 -1.48364770 1.50260330
 217 1.32732730 -1.49256960 1.47938620
 218 1.33333330 -1.50141810 1.44984860
 219 1.33933930 -1.50998520 1.36445610
 220 1.34534530 -1.51780800 1.19865450
 221 1.35135140 -1.52438350 0.96510435
 222 1.35735740 -1.52940090 0.70098352
 223 1.36336340 -1.53280370 0.43838935
 224 1.36936940 -1.53466680 0.18692680
 225 1.37537540 -1.53504910 -0.05651628
 226 1.38138140 -1.53398790 -0.28932444
 227 1.38738740 -1.53157370 -0.50262982
 228 1.39339340 -1.52795030 -0.69374088
 229 1.39939940 -1.52324050 -0.86928911
 230 1.40540540 -1.51750840 -1.03713320
 231 1.41141140 -1.51078240 -1.20285720
 232 1.41741740 -1.50305970 -1.37347150
 233 1.42342340 -1.49428430 -1.55618480
 234 1.42942940 -1.48436680 -1.75241160
 235 1.43543540 -1.47323430 -1.96031770
 236 1.44144140 -1.46081940 -2.18402900
 237 1.44744740 -1.44699970 -2.43150700
 238 1.45345350 -1.43161210 -2.70184930
 239 1.45945950 -1.41454500 -2.98305530
 240 1.46546550 -1.39577960 -3.26767950
 241 1.47147150 -1.37529360 -3.55994750
 242 1.47747750 -1.35301750 -3.85745860
 243 1.48348350 -1.32895780 -4.13505960
 244 1.48948950 -1.30334710 -4.35796680
 245 1.49549550 -1.27660980 -4.51052640
 246 1.50150150 -1.24916660 -4.60703890
 247 1.50750750 -1.22127000 -4.67845900
 248 1.51351350 -1.19296890 -4.75510670
 249 1.51951950 -1.16415160 -4.85731850
 250 1.52552550 -1.13462270 -4.99075530
 251 1.53153150 -1.10420260 -5.14672240
 252 1.53753750 -1.07280020 -5.31191880
 253 1.54354350 -1.04039580 -5.48015050
 254 1.54954950 -1.00697260 -5.65118780
 255 1.55555560 -0.97251366 -5.82015730
 256 1.56156160 -0.93706081 -5.97131560
 257 1.56756760 -0.90078614 -6.08874870
 258 1.57357360 -0.86392268 -6.17054330
 259 1.57957960 -0.82666550 -6.22781390
 260 1.58558560 -0.78911411 -6.27624290
 261 1.59159160 -0.75127520 -6.32909760
 262 1.59759760 -0.71308891 -6.39496140
 263 1.60360360 -0.67445884 -6.47821420
 264 1.60960960 -0.63527253 -6.58283580
 265 1.61561560 -0.59538574 -6.71670400
 266 1.62162160 -0.55459140 -6.88637720
 267 1.62762760 -0.51266650 -7.07951110
 268 1.63363360 -0.46955222 -7.25135150
 269 1.63963960 -0.42556318 -7.33660940
 270 1.64564560 -0.38142478 -7.28575040
 271 1.65165170 -0.33804665 -7.09999930
 272 1.65765770 -0.29613951 -6.82917460
 273 1.66366370 -0.25601453 -6.53626600
 274 1.66966970 -0.21762580 -6.26086550
 275 1.67567570 -0.18080893 -6.00844580
 276 1.68168170 -0.14545228 -5.76712590
 277 1.68768770 -0.11153415 -5.52085270
 278 1.69369370 -0.07913573 -5.24999860
 279 1.69969970 -0.04847110 -4.93639860
 280 1.70570570 -0.01983965 -4.57552640
 281 1.71171170 0.00649018 -4.17339190
 282 1.71771770 0.03029119 -3.72677150
 283 1.72372370 0.05125620 -3.22225940
 284 1.72972970 0.06899701 -2.66784660
 285 1.73573570 0.08330240 -2.11411930
 286 1.74174170 0.09439183 -1.62652030
 287 1.74774770 0.10284019 -1.23734470
 288 1.75375380 0.10925483 -0.93278601
 289 1.75975980 0.11404482 -0.67992629
 290 1.76576580 0.11742211 -0.45264544
 291 1.77177180 0.11948200 -0.23525873
 292 1.77777780 0.12024805 -0.01947589
 293 1.78378380 0.11971595 0.19393870
 294 1.78978980 0.11791845 0.39720161
 295 1.79579580 0.11494476 0.58468691
 296 1.80180180 0.11089519 0.75647192
 297 1.80780780 0.10585801 0.90958254
 298 1.81381380 0.09996927 1.02991520
 299 1.81981980 0.09348666 1.09897970
 300 1.82582580 0.08676831 1.11073690
 301 1.83183180 0.08014447 1.08158580
 302 1.83783780 0.07377629 1.04392860
 303 1.84384380 0.06760479 1.02868680
 304 1.84984980 0.06141969 1.04912650
 305 1.85585590 0.05500267 1.09598560
 306 1.86186190 0.04825470 1.14281210
 307 1.86786790 0.04127519 1.15958630
 308 1.87387390 0.03432573 1.12858740
 309 1.87987990 0.02771859 1.05313610
 310 1.88588590 0.02167545 0.95530089
 311 1.89189190 0.01624350 0.86213181
 312 1.89789790 0.01131951 0.79066666
 313 1.90390390 0.00674600 0.74306203
 314 1.90990990 0.00239384 0.71297686
 315 1.91591590 -0.00181828 0.69420142
 316 1.92192190 -0.00594491 0.68355315
 317 1.92792790 -0.01002913 0.67829805
 318 1.93393390 -0.01409264 0.67251991
 319 1.93993990 -0.01810745 0.65575959
 320 1.94594590 -0.02196963 0.61598863
 321 1.95195200 -0.02550671 0.54774807
 322 1.95795800 -0.02854919 0.45899603
 323 1.96396400 -0.03102018 0.36978084
 324 1.96997000 -0.03299100 0.30122753
 325 1.97597600 -0.03463853 0.26292245
 326 1.98198200 -0.03614922 0.25048244
 327 1.98798800 -0.03764732 0.25276316
 328 1.99399400 -0.03918542 0.26031044
 329 2.00000000 -0.04077418 0.26851176
 330 2.00600600 -0.04241078 0.27579854
 331 2.01201200 -0.04408707 0.28073488
 332 2.01801800 -0.04578298 0.28088080
 333 2.02402400 -0.04746102 0.27401970
 334 2.03003000 -0.04907450 0.26064173
 335 2.03603600 -0.05059185 0.24561578
 336 2.04204200 -0.05202484 0.23721410
 337 2.04804800 -0.05344127 0.24310392
 338 2.05405410 -0.05494501 0.26543588
 339 2.06006010 -0.05662968 0.29784586
 340 2.06606610 -0.05852274 0.32771500
 341 2.07207210 -0.06056620 0.34299484
 342 2.07807810 -0.06264280 0.33881217
 343 2.08408410 -0.06463602 0.31995045
 344 2.09009010 -0.06648604 0.29748362
 345 2.09609610 -0.06820939 0.28220485
 346 2.10210210 -0.06987589 0.27901960
 347 2.10810810 -0.07156098 0.28485946
 348 2.11411410 -0.07329763 0.29021936
 349 2.12012010 -0.07504710 0.28341224
 350 2.12612610 -0.07670198 0.25677323
 351 2.13213210 -0.07813146 0.21300238
 352 2.13813810 -0.07926057 0.16759408
 353 2.14414410 -0.08014460 0.14352971
 354 2.15015020 -0.08098465 0.15914152
 355 2.15615620 -0.08205621 0.21508282
 356 2.16216220 -0.08356822 0.28909606
 357 2.16816820 -0.08552884 0.34364563
 358 2.17417420 -0.08769610 0.34427521
 359 2.18018020 -0.08966428 0.27984644
 360 2.18618620 -0.09105762 0.17144111
 361 2.19219220 -0.09172363 0.06199355
 362 2.19819820 -0.09180229 -0.00783368
 363 2.20420420 -0.09162953 -0.02089991
 364 2.21021020 -0.09155124 0.01218870
 365 2.21621620 -0.09177594 0.06573614
 366 2.22222220 -0.09234086 0.11631389
 367 2.22822820 -0.09317311 0.15240198
 368 2.23423420 -0.09417151 0.17264695
 369 2.24024020 -0.09524694 0.17810764
 370 2.24624620 -0.09631095 0.16689075
 371 2.25225230 -0.09725164 0.13597616
 372 2.25825830 -0.09794429 0.08775363
 373 2.26426430 -0.09830573 0.03405629
 374 2.27027030 -0.09835338 -0.00756950
 375 2.27627630 -0.09821481 -0.02350500
 376 2.28228230 -0.09807104 -0.01235740
 377 2.28828830 -0.09806637 0.01375396
 378 2.29429430 -0.09823625 0.03517004
 379 2.30030030 -0.09848883 0.03448352
 380 2.30630630 -0.09865046 0.00584520
 381 2.31231230 -0.09855905 -0.04064368
 382 2.31831830 -0.09816225 -0.08288824
 383 2.32432430 -0.09756339 -0.09837535
 384 2.33033030 -0.09698057 -0.07719627
 385 2.33633630 -0.09663611 -0.02843819
 386 2.34234230 -0.09663897 0.02419551
 387 2.34834830 -0.09692675 0.05503699
 388 2.35435440 -0.09730007 0.05006292
 389 2.36036040 -0.09752810 0.01392118
 390 2.36636640 -0.09746729 -0.03324927
 391 2.37237240 -0.09712871 -0.06704354
 392 2.37837840 -0.09666197 -0.07149416
 393 2.38438440 -0.09626992 -0.04638224
 394 2.39039040 -0.09610482 -0.00568791
 395 2.39639640 -0.09620160 0.03109008
 396 2.40240240 -0.09647828 0.04935643
 397 2.40840840 -0.09679447 0.04598993
 398 2.41441440 -0.09703071 0.02943223
 399 2.42042040 -0.09714801 0.01434591
 400 2.42642640 -0.09720303 0.01389612
 401 2.43243240 -0.09731493 0.03318962
 402 2.43843840 -0.09760170 0.06710948
 403 2.44444440 -0.09812105 0.10398142
 404 2.45045050 -0.09885073 0.13280366
 405 2.45645650 -0.09971629 0.14881078
 406 2.46246250 -0.10063825 0.15386847
 407 2.46846850 -0.10156456 0.15281597
 408 2.47447450 -0.10247387 0.14964348
 409 2.48048050 -0.10336208 0.14612780
 410 2.48648650 -0.10422916 0.14239640
 411 2.49249250 -0.10507255 0.13771875
 412 2.49849850 -0.10588344 0.13089360
 413 2.50450450 -0.10664484 0.12100839
 414 2.51051050 -0.10733700 0.10944048
 415 2.51651650 -0.10795944 0.10232329
 416 2.52252250 -0.10856611 0.11066524
 417 2.52852850 -0.10928876 0.14547515
 418 2.53453450 -0.11031355 0.20921455
 419 2.54054050 -0.11180184 0.29018135
